Property,CameraNumber,LocationID
BCHER,4,MEADOW
BCHER,7,MEADOW
BCHER,9,FOREST
BCHER,10,FOREST
BCHER,11,MEADOW
BCHER,12,FOREST
BCHER,13,MEADOW
BCHER,14,MEADOW
BCHER,15,MEADOW
