File,RelativePath,Folder,ImageQuality,DeleteFlag,Tagger,Species1,NumIndividual1,Species2,NumIndividual2,Notes,HumanType,ImageIssue,IllegalAct,UNID,SavePic,DateTime,CameraNumber,Property,
RCNX0150.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,1,,0,,,,false,false,false, 2020-07-06 15:42:22,1,WVWA,
RCNX0151.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-06 18:19:06,1,WVWA,
RCNX0152.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,western grey squirrel,1,,0,,,,false,false,false, 2020-07-06 19:18:18,1,WVWA,
RCNX0153.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-07 00:31:50,1,WVWA,
RCNX0154.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-07 12:05:10,1,WVWA,
RCNX0155.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-07 12:07:34,1,WVWA,
RCNX0156.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-07 12:16:34,1,WVWA,
RCNX0157.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-07 12:16:48,1,WVWA,
RCNX0158.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-07 12:34:10,1,WVWA,
RCNX0159.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,western grey squirrel,2,,0,,,,false,false,false, 2020-07-08 06:26:12,1,WVWA,
RCNX0160.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-08 12:32:10,1,WVWA,
RCNX0161.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-08 12:40:08,1,WVWA,
RCNX0162.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-08 13:03:54,1,WVWA,
RCNX0163.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-08 15:58:50,1,WVWA,
RCNX0164.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-08 19:27:50,1,WVWA,
RCNX0165.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,1,,0,,,,false,false,false, 2020-07-08 19:32:16,1,WVWA,
RCNX0166.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-08 21:47:32,1,WVWA,
RCNX0167.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-09 06:08:04,1,WVWA,
RCNX0168.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-09 06:09:28,1,WVWA,
RCNX0169.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-10 05:22:40,1,WVWA,
RCNX0170.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-10 12:44:36,1,WVWA,
RCNX0171.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-10 15:37:30,1,WVWA,
RCNX0172.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-11 12:15:12,1,WVWA,
RCNX0173.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-11 12:31:40,1,WVWA,
RCNX0174.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-11 13:14:58,1,WVWA,
RCNX0175.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-11 13:22:00,1,WVWA,
RCNX0176.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-11 13:22:22,1,WVWA,
RCNX0177.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-11 13:22:36,1,WVWA,
RCNX0178.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-11 13:36:02,1,WVWA,
RCNX0179.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-11 13:36:24,1,WVWA,
RCNX0180.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-11 13:36:40,1,WVWA,
RCNX0181.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,domestic dog,1,,public,,false,false,false, 2020-07-11 13:36:54,1,WVWA,
RCNX0182.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-11 15:43:46,1,WVWA,
RCNX0183.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-12 12:35:08,1,WVWA,
RCNX0184.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-12 12:47:28,1,WVWA,
RCNX0185.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-12 12:58:34,1,WVWA,
RCNX0186.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-12 14:39:42,1,WVWA,
RCNX0187.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-12 14:44:24,1,WVWA,
RCNX0188.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-12 17:07:10,1,WVWA,
