RootFolder,File,RelativePath,Dark,DeleteFlag,Tagger,Species1,NumIndividual1,Species2,NumIndividual2,Notes,HumanType,ImageIssue,IllegalAct,UNID,SavePic,DateTime,CameraNumber,Property,
Lands Camera Photos,RCNX0032.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:53:24,6,WVWA,
Lands Camera Photos,RCNX0033.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:53:25,6,WVWA,
Lands Camera Photos,RCNX0034.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:53:26,6,WVWA,
Lands Camera Photos,RCNX0035.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:53:27,6,WVWA,
Lands Camera Photos,RCNX0036.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:53:29,6,WVWA,
Lands Camera Photos,RCNX0037.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:53:30,6,WVWA,
Lands Camera Photos,RCNX0038.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:53:31,6,WVWA,
Lands Camera Photos,RCNX0039.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:53:32,6,WVWA,
Lands Camera Photos,RCNX0040.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:53:44,6,WVWA,
Lands Camera Photos,RCNX0041.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:53:45,6,WVWA,
Lands Camera Photos,RCNX0042.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:53:46,6,WVWA,
Lands Camera Photos,RCNX0043.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:53:47,6,WVWA,
Lands Camera Photos,RCNX0044.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:53:48,6,WVWA,
Lands Camera Photos,RCNX0045.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:53:49,6,WVWA,
Lands Camera Photos,RCNX0046.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:53:50,6,WVWA,
Lands Camera Photos,RCNX0047.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:53:53,6,WVWA,
Lands Camera Photos,RCNX0048.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:53:54,6,WVWA,
Lands Camera Photos,RCNX0049.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:02,6,WVWA,
Lands Camera Photos,RCNX0050.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:03,6,WVWA,
Lands Camera Photos,RCNX0051.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:04,6,WVWA,
Lands Camera Photos,RCNX0052.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:06,6,WVWA,
Lands Camera Photos,RCNX0053.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:07,6,WVWA,
Lands Camera Photos,RCNX0054.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:08,6,WVWA,
Lands Camera Photos,RCNX0055.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:09,6,WVWA,
Lands Camera Photos,RCNX0056.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:10,6,WVWA,
Lands Camera Photos,RCNX0057.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:11,6,WVWA,
Lands Camera Photos,RCNX0058.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:12,6,WVWA,
Lands Camera Photos,RCNX0059.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,human,1,,0,,setup,,false,false,false, 2020-06-24 12:54:13,6,WVWA,
Lands Camera Photos,RCNX0060.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:54:14,6,WVWA,
Lands Camera Photos,RCNX0061.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:54:58,6,WVWA,
Lands Camera Photos,RCNX0062.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:54:59,6,WVWA,
Lands Camera Photos,RCNX0063.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:55:00,6,WVWA,
Lands Camera Photos,RCNX0064.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:56:47,6,WVWA,
Lands Camera Photos,RCNX0065.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:56:48,6,WVWA,
Lands Camera Photos,RCNX0066.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 12:56:49,6,WVWA,
Lands Camera Photos,RCNX0067.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:12,6,WVWA,
Lands Camera Photos,RCNX0068.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:13,6,WVWA,
Lands Camera Photos,RCNX0069.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:14,6,WVWA,
Lands Camera Photos,RCNX0070.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:22,6,WVWA,
Lands Camera Photos,RCNX0071.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:23,6,WVWA,
Lands Camera Photos,RCNX0072.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:24,6,WVWA,
Lands Camera Photos,RCNX0073.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:26,6,WVWA,
Lands Camera Photos,RCNX0074.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:27,6,WVWA,
Lands Camera Photos,RCNX0075.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:28,6,WVWA,
Lands Camera Photos,RCNX0076.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:37,6,WVWA,
Lands Camera Photos,RCNX0077.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:38,6,WVWA,
Lands Camera Photos,RCNX0078.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:06:39,6,WVWA,
Lands Camera Photos,RCNX0079.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:20,6,WVWA,
Lands Camera Photos,RCNX0080.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:21,6,WVWA,
Lands Camera Photos,RCNX0081.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:22,6,WVWA,
Lands Camera Photos,RCNX0082.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:32,6,WVWA,
Lands Camera Photos,RCNX0083.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:33,6,WVWA,
Lands Camera Photos,RCNX0084.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:34,6,WVWA,
Lands Camera Photos,RCNX0085.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:35,6,WVWA,
Lands Camera Photos,RCNX0086.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:36,6,WVWA,
Lands Camera Photos,RCNX0087.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:37,6,WVWA,
Lands Camera Photos,RCNX0088.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:40,6,WVWA,
Lands Camera Photos,RCNX0089.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:41,6,WVWA,
Lands Camera Photos,RCNX0090.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:42,6,WVWA,
Lands Camera Photos,RCNX0091.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:45,6,WVWA,
Lands Camera Photos,RCNX0092.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:46,6,WVWA,
Lands Camera Photos,RCNX0093.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:07:47,6,WVWA,
Lands Camera Photos,RCNX0094.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:27,6,WVWA,
Lands Camera Photos,RCNX0095.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:28,6,WVWA,
Lands Camera Photos,RCNX0096.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:29,6,WVWA,
Lands Camera Photos,RCNX0097.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:34,6,WVWA,
Lands Camera Photos,RCNX0098.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:35,6,WVWA,
Lands Camera Photos,RCNX0099.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:36,6,WVWA,
Lands Camera Photos,RCNX0100.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:41,6,WVWA,
Lands Camera Photos,RCNX0101.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:42,6,WVWA,
Lands Camera Photos,RCNX0102.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:43,6,WVWA,
Lands Camera Photos,RCNX0103.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:51,6,WVWA,
Lands Camera Photos,RCNX0104.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:52,6,WVWA,
Lands Camera Photos,RCNX0105.JPG,WVWA\WVWA06-6.24.20-8.7.20,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-06-24 13:08:53,6,WVWA,
